 	Area	X	Y	Slice
893	174	212.638	65.828	38
894	238	492.076	78.962	38
895	210	291.190	79.810	38
896	186	399.527	102.704	38
897	171	65.792	116.266	38
898	142	604.085	119.458	38
899	184	514.467	160.370	38
900	247	565.723	172.362	38
901	162	148.444	185.389	38
902	209	304.285	201.878	38
903	179	112.573	207.897	38
904	281	394.585	227.496	38
905	174	183.828	251.845	38
906	174	379.454	256.138	38
907	174	615.172	256.362	38
908	176	318.790	270.102	38
909	157	115.462	281.124	38
910	203	529.791	284.776	38
911	238	490.176	357.374	38
912	253	304.796	361.034	38
913	270	411.959	364.674	38
914	144	183.167	366.667	38
915	164	596.500	385.220	38
916	182	108.159	398.489	38
917	174	212.638	65.828	39
918	238	492.076	78.962	39
919	210	291.190	79.810	39
920	186	399.527	102.704	39
921	171	65.792	116.266	39
922	142	604.085	119.458	39
923	194	514.835	160.490	39
924	247	565.723	172.362	39
925	162	148.444	185.389	39
926	209	304.285	201.878	39
927	179	112.573	207.897	39
928	180	394.150	227.267	39
929	174	183.828	251.845	39
930	174	379.454	256.138	39
931	174	615.172	256.362	39
932	176	318.790	270.102	39
933	157	115.462	281.124	39
934	203	529.667	284.480	39
935	238	490.176	357.374	39
936	274	304.715	361.237	39
937	270	411.959	364.674	39
938	144	183.167	366.667	39
939	164	596.500	385.220	39
940	182	108.159	398.489	39
941	174	212.638	65.828	40
942	250	492.476	78.752	40
943	210	291.190	79.810	40
944	186	399.527	102.704	40
945	171	65.792	116.266	40
946	142	604.085	119.458	40
947	171	515.915	160.705	40
948	247	565.723	172.362	40
949	162	148.444	185.389	40
950	209	304.285	201.878	40
951	179	112.573	207.897	40
952	182	395.478	226.077	40
953	174	183.828	251.845	40
954	174	379.454	256.138	40
955	174	615.172	256.362	40
956	176	318.790	270.102	40
957	157	115.462	281.124	40
958	203	529.667	284.480	40
959	238	490.176	357.374	40
960	179	300.796	360.556	40
961	270	411.959	364.674	40
962	144	183.167	366.667	40
963	164	596.500	385.220	40
964	182	108.159	398.489	40
965	174	212.638	65.828	41
966	273	493.236	78.346	41
967	210	291.190	79.810	41
968	186	399.527	102.704	41
969	171	65.792	116.266	41
970	142	604.085	119.458	41
971	171	515.915	160.705	41
972	247	565.723	172.362	41
973	162	148.444	185.389	41
974	209	304.285	201.878	41
975	179	112.573	207.897	41
976	183	400.254	226.303	41
977	174	183.828	251.845	41
978	174	379.454	256.138	41
979	174	615.172	256.362	41
980	176	318.790	270.102	41
981	157	115.462	281.124	41
982	196	529.964	284.913	41
983	238	490.176	357.374	41
984	207	300.490	360.973	41
985	270	411.959	364.674	41
986	144	183.167	366.667	41
987	164	596.500	385.220	41
988	182	108.159	398.489	41
989	174	212.638	65.828	42
990	251	492.185	78.763	42
991	210	291.190	79.810	42
992	186	399.527	102.704	42
993	171	65.792	116.266	42
994	135	604.144	119.159	42
